job_role,skills
Data Scientist,"Python SQL Machine Learning Statistics Pandas Data Analysis"
DevOps Engineer,"AWS Docker Kubernetes CI/CD Linux Git Automation"
Backend Developer,"Java Python SQL APIs Data Structures Git"
Frontend Developer,"JavaScript React HTML CSS Web Design Git"
Cloud Architect,"AWS Cloud Computing Kubernetes Docker Automation Networking"
ML Engineer,"Python Machine Learning TensorFlow PyTorch Data Structures Statistics"
Data Analyst,"SQL Python Data Analysis Excel Statistics Visualization"
Systems Administrator,"Linux Networking Automation Git Cloud Computing Security"
Full Stack Developer,"JavaScript Python SQL React APIs Git Data Structures"
Security Engineer,"Networking Linux Security Automation Python Cloud Computing"
